CustomerID,Monetary,Recency,Frequency,cluster
14511,1303.21,33,67,cluster1
17500,1138,39,5,cluster1
12393,1521,94,61,cluster1
15862,751.03,30,131,cluster1
12843,1336.48,87,84,cluster1
17289,857.62,53,97,cluster1
16574,451.44,93,28,cluster1
14078,1020.64,123,55,cluster2
17295,554.61,50,68,cluster1
17351,555.35,58,25,cluster1
16302,212.82,148,10,cluster2
12581,169.21,61,13,cluster1
15494,1215.44,43,117,cluster1
13396,1344.64,51,42,cluster1
12839,5127.22,24,291,cluster1
15652,317.94,113,19,cluster1
18064,814,155,7,cluster2
13308,1370.51,44,53,cluster1
16756,221.7,236,12,cluster2
12659,73.68,51,4,cluster1
15041,166.03,192,61,cluster2
12353,89,226,4,cluster2
14760,89.2,319,5,cluster3
16402,299.6,286,60,cluster3
13947,90.6,87,5,cluster1
15144,6196.24,30,204,cluster1
12444,3926.7,43,161,cluster1
12622,147.1,254,9,cluster3
14227,3038.06,48,160,cluster1
17667,1957.71,88,111,cluster1
12598,2763.48,31,125,cluster1
16916,531.16,45,134,cluster1
13562,1334.71,103,62,cluster1
13524,543.48,62,22,cluster1
16594,179.53,97,50,cluster1
12367,150.9,26,10,cluster1
17813,1708.96,36,343,cluster1
15938,386.88,134,17,cluster2
15655,528.57,265,31,cluster3
14241,213.7,205,10,cluster2
16666,77.7,41,16,cluster1
14890,105.9,275,6,cluster3
13375,761.65,110,36,cluster1
13475,1249.92,213,73,cluster2
15845,3626.45,39,135,cluster1
13974,413.59,71,28,cluster1
16804,432.5,45,52,cluster1
13575,714.37,45,45,cluster1
15768,601.63,137,25,cluster2
13525,577.9,36,5,cluster1
16327,3309.04,36,264,cluster1
14886,364.8,274,18,cluster3
13362,2744.4,31,148,cluster1
13922,124.55,373,5,cluster3
13158,1124.2,116,75,cluster2
13919,306.81,81,22,cluster1
12948,2005.73,38,112,cluster1
14100,191.95,159,25,cluster2
17449,1995.53,24,227,cluster1
13690,172.25,81,9,cluster1
15142,483.74,68,25,cluster1
12630,940.18,31,57,cluster1
14937,1374.08,78,32,cluster1
15291,4515.4,47,97,cluster1
16140,725.18,87,35,cluster1
14987,163.2,37,2,cluster1
16404,385.55,92,21,cluster1
13388,624,153,34,cluster2
16358,1992.1,23,107,cluster1
17419,3935.27,33,190,cluster1
15374,168,150,3,cluster2
16356,211.77,219,31,cluster2
17739,2791.35,33,47,cluster1
17553,1487.6,151,2,cluster2
17737,168.24,31,10,cluster1
13948,102,382,3,cluster3
12747,3569.41,24,84,cluster1
15125,11170.48,47,125,cluster1
17767,204.2,37,17,cluster1
15297,611.94,32,37,cluster1
14597,805.8,33,53,cluster1
12596,404.17,73,23,cluster1
15456,300.96,305,48,cluster3
14566,716,132,2,cluster2
16093,17,128,1,cluster2
17505,1145.84,183,52,cluster2
17526,1195.9,26,19,cluster1
12877,1213.27,25,135,cluster1
14626,2512.77,45,113,cluster1
16773,64.59,79,10,cluster1
14397,2612.96,24,87,cluster1
16066,1504.92,38,99,cluster1
14285,1904.11,43,26,cluster1
17997,1698.48,96,137,cluster1
16071,287.74,66,19,cluster1
18176,422.05,380,26,cluster3
15532,1416.25,47,206,cluster1
14030,2091.88,40,204,cluster1
17011,270.9,52,15,cluster1
16239,414.2,78,19,cluster1
13841,85,274,1,cluster3
15656,730.8,67,46,cluster1
17166,206.34,60,12,cluster1
15090,381.32,330,23,cluster3
13146,154.31,48,14,cluster1
17330,363.9,44,6,cluster1
15578,93.1,184,12,cluster2
15692,173.34,50,11,cluster1
14946,100.9,36,3,cluster1
14258,8497.5,31,86,cluster1
15645,573.85,40,47,cluster1
16633,2807.5,39,147,cluster1
14951,237.41,101,14,cluster1
16794,1211.58,23,278,cluster1
16405,167.25,324,5,cluster3
13720,739.5,138,39,cluster2
13026,821.4,23,32,cluster1
12974,91.25,219,6,cluster2
14544,2010.65,46,111,cluster1
13355,636.2,144,30,cluster2
15325,150.76,125,42,cluster2
15740,154.88,71,9,cluster1
12915,280.2,170,16,cluster2
16458,2323.35,24,142,cluster1
13940,824.14,39,48,cluster1
16298,598.2,44,27,cluster1
14708,1126.37,24,28,cluster1
16079,1315.1,38,18,cluster1
16013,30451.1,25,128,cluster1
12559,525.71,332,20,cluster3
17002,1442.73,107,48,cluster1
15483,189.36,183,65,cluster2
14741,1309.14,33,54,cluster1
17970,488.59,233,25,cluster2
12988,307.47,314,64,cluster3
18072,175.68,207,14,cluster2
16700,4718.75,30,292,cluster1
16812,449.35,382,13,cluster3
13806,256.38,85,10,cluster1
12785,236.45,386,12,cluster3
12580,379.7,268,23,cluster3
16858,375.69,390,10,cluster3
12588,174.9,61,9,cluster1
13695,2418.03,53,85,cluster1
15553,412.88,82,53,cluster1
13845,312.98,86,9,cluster1
12852,311.55,316,17,cluster3
12553,2756.31,30,156,cluster1
14305,1766.26,93,100,cluster1
13314,710.72,23,55,cluster1
14276,1039.14,120,59,cluster2
14984,191.17,41,37,cluster1
14480,279.05,33,13,cluster1
14998,407.68,192,69,cluster2
16808,283.38,121,22,cluster2
15016,141.74,194,16,cluster2
16739,323,198,13,cluster2
14475,761.35,93,34,cluster1
15179,2115.65,40,88,cluster1
14211,2056.9,75,104,cluster1
15384,642.41,191,41,cluster2
17932,1239.67,51,84,cluster1
15220,1691.66,73,111,cluster1
15514,4068.95,34,173,cluster1
17779,604.2,43,72,cluster1
15889,353.47,178,78,cluster2
12984,97.5,40,4,cluster1
15543,114.46,310,23,cluster3
13753,741.26,309,35,cluster3
14482,1330.79,40,124,cluster1
16338,214.8,179,11,cluster2
12658,460.75,40,26,cluster1
15549,1634.53,99,103,cluster1
15796,2511.92,23,122,cluster1
13928,407.57,32,24,cluster1
13439,263.69,277,49,cluster3
16708,641.63,67,26,cluster1
12937,1200.59,37,106,cluster1
16832,182.8,206,11,cluster2
16367,737.96,59,117,cluster1
17345,494.93,37,76,cluster1
13106,76.5,155,1,cluster2
13124,3614.31,111,213,cluster1
15539,538.46,29,41,cluster1
17239,311.7,334,14,cluster3
15445,113.5,286,5,cluster3
12851,124.81,118,48,cluster2
13500,1166.77,45,65,cluster1
16049,888.08,62,264,cluster1
17973,313.64,73,13,cluster1
15386,365.7,208,27,cluster2
15428,76.08,37,5,cluster1
12883,686.47,46,41,cluster1
17940,2238.58,71,18,cluster1
15070,106.2,394,1,cluster3
15484,3548.75,23,183,cluster1
16592,3952.48,26,206,cluster1
14713,2489.78,31,308,cluster1
17669,2877.22,64,62,cluster1
17601,108.51,261,8,cluster3
17400,1966.46,148,197,cluster2
13929,763.75,191,7,cluster2
17560,646.37,116,19,cluster2
17120,289.76,255,17,cluster3
13035,921.88,95,27,cluster1
17590,1431,24,191,cluster1
17656,1465.43,95,74,cluster1
13848,1255,114,5,cluster1
16448,139.74,220,17,cluster2
16751,1764.72,52,25,cluster1
12739,975.54,121,37,cluster2
15213,298.35,340,22,cluster3
17873,1629.08,102,37,cluster1
13230,2607.55,26,552,cluster1
12600,1129.08,50,36,cluster1
12544,286.7,58,16,cluster1
17724,832.7,93,32,cluster1
13295,111.2,381,6,cluster3
16153,1810.28,71,88,cluster1
17451,1718.9,23,99,cluster1
13307,15,142,1,cluster2
12755,3811.95,302,4,cluster3
14487,1119.85,48,124,cluster1
13487,501.5,79,31,cluster1
14001,1665.58,67,36,cluster1
14447,1003.93,40,61,cluster1
13138,962.39,44,63,cluster1
14633,272.9,288,15,cluster3
15567,186.01,40,7,cluster1
15042,135.93,221,5,cluster2
12836,2330.17,81,158,cluster1
14157,369.58,41,43,cluster1
14019,1421.61,68,66,cluster1
12908,750,198,2,cluster2
13730,752.6,157,43,cluster2
16124,249,339,11,cluster3
14350,191.67,296,13,cluster3
13769,2619.51,24,125,cluster1
14273,381.52,73,20,cluster1
15601,6158.1,33,384,cluster1
14930,2263.96,130,123,cluster2
12999,455.88,218,28,cluster2
15957,401.35,53,40,cluster1
17416,5831.59,51,239,cluster1
16110,1299.31,67,343,cluster1
18095,580.05,334,21,cluster3
12403,9.9,71,1,cluster1
14649,755.02,26,161,cluster1
14995,117.88,60,35,cluster1
18040,336.4,41,18,cluster1
17934,704.25,73,21,cluster1
18172,5997.48,36,181,cluster1
16781,293.55,394,16,cluster3
17142,579,261,15,cluster3
13551,56.1,341,2,cluster3
14327,240.85,185,11,cluster2
17608,152.81,55,46,cluster1
15218,3629.85,32,132,cluster1
16997,565.5,310,10,cluster3
13892,590.13,48,24,cluster1
13748,948.25,117,28,cluster2
13456,1733.52,39,61,cluster1
13900,723.25,205,42,cluster2
18230,2187.04,31,80,cluster1
17948,358.56,169,1,cluster2
17800,930.06,59,84,cluster1
17071,2312.53,50,133,cluster1
16444,587.99,68,70,cluster1
17649,847.69,160,51,cluster2
17206,204.24,75,7,cluster1
14494,139.56,47,7,cluster1
17084,2904.55,57,158,cluster1
17412,1214.86,24,64,cluster1
17422,1804.23,38,106,cluster1
14738,1205.85,64,48,cluster1
12814,85.92,123,1,cluster2
13873,331.34,141,19,cluster2
15221,403.25,388,5,cluster3
13731,509.46,241,31,cluster2
15975,356.01,106,23,cluster1
16368,437.91,24,61,cluster1
15739,449.12,88,8,cluster1
17942,77.5,29,2,cluster1
16198,375.88,97,13,cluster1
18184,49.8,37,1,cluster1
12481,4913.87,44,204,cluster1
14334,2368.23,38,149,cluster1
14412,729.95,64,41,cluster1
16139,635.41,40,31,cluster1
14700,2202.02,54,113,cluster1
15269,408.8,45,2,cluster1
13988,3740.45,41,207,cluster1
12731,16767.71,45,266,cluster1
15869,142.39,299,13,cluster3
17460,498.53,116,25,cluster2
16433,184.26,50,17,cluster1
16115,1625.04,31,267,cluster1
16531,1234.69,44,76,cluster1
14066,152.55,288,7,cluster3
15327,208.75,74,10,cluster1
15967,382.38,45,77,cluster1
15306,1154.45,86,57,cluster1
15265,1494.72,173,81,cluster2
15951,690.52,30,40,cluster1
14034,646.77,44,84,cluster1
17466,546.83,32,33,cluster1
16320,1027.96,194,55,cluster2
15773,625.18,27,9,cluster1
13811,519.75,205,10,cluster2
15315,540.74,86,35,cluster1
15075,758.03,99,26,cluster1
14032,2942.74,24,141,cluster1
13285,2609.02,45,181,cluster1
13548,590.42,118,107,cluster2
13652,1043.38,67,60,cluster1
17483,360.64,87,19,cluster1
14661,97.75,48,3,cluster1
14083,916.02,26,159,cluster1
14691,2114.33,52,71,cluster1
17118,157.02,339,10,cluster3
14883,711.73,40,48,cluster1
17397,633.01,44,85,cluster1
17312,644.3,160,14,cluster2
12832,300.83,54,21,cluster1
13561,60.26,237,13,cluster2
15813,1282.91,229,38,cluster2
16671,1159.35,57,3,cluster1
14259,89.1,163,3,cluster2
16201,1801.07,25,108,cluster1
14393,67.95,240,5,cluster2
17344,141.3,68,25,cluster1
13332,333.05,36,20,cluster1
14293,954.96,25,57,cluster1
15955,4232.26,46,177,cluster1
16716,901.2,288,2,cluster3
14400,574.7,171,25,cluster2
15808,3157.62,328,186,cluster3
17107,9452.3,55,385,cluster1
15100,876,355,3,cluster3
17311,1384.85,100,55,cluster1
13280,756.21,144,81,cluster2
17614,342.93,79,86,cluster1
12349,1372.42,40,68,cluster1
17781,172.12,181,10,cluster2
17736,337.49,31,24,cluster1
17585,1032.93,131,192,cluster2
12354,1062.8,254,57,cluster3
15492,659.46,50,35,cluster1
12879,573.22,66,10,cluster1
15756,475.9,83,174,cluster1
12856,2085.43,29,301,cluster1
17704,782.29,190,28,cluster2
12409,10223.27,100,102,cluster1
16041,3166.4,52,6,cluster1
13211,1137.47,32,53,cluster1
13427,551.7,41,27,cluster1
14191,3746.66,23,222,cluster1
14555,257.39,79,18,cluster1
17259,540.14,170,109,cluster2
13083,303.75,26,18,cluster1
13317,2210.88,88,120,cluster1
17679,1952.16,74,29,cluster1
15748,149.31,62,21,cluster1
14262,2618.23,30,143,cluster1
16528,234.93,25,16,cluster1
13601,609.75,67,84,cluster1
14716,294.24,65,49,cluster1
17234,149.89,204,14,cluster2
16455,1758.68,85,94,cluster1
14788,679.44,29,30,cluster1
14460,299.46,132,12,cluster2
17870,1673.04,24,244,cluster1
14888,369.2,229,20,cluster2
13743,1341.6,24,41,cluster1
17545,614.41,65,134,cluster1
16967,298.32,211,19,cluster2
18167,1314.06,45,35,cluster1
12584,2125.45,25,90,cluster1
12820,924.64,25,58,cluster1
16601,193.08,62,23,cluster1
17774,941.17,118,129,cluster2
15023,6053.23,25,515,cluster1
17228,1525.45,37,185,cluster1
16152,1829.04,290,29,cluster3
12735,676.97,337,40,cluster3
13402,613.91,149,37,cluster2
13710,160.08,53,7,cluster1
18203,160.42,179,19,cluster2
14500,356.85,110,7,cluster1
12763,483.88,160,17,cluster2
15513,14475.02,55,303,cluster1
17165,158.68,306,10,cluster3
13092,448.07,92,23,cluster1
12891,331,207,3,cluster2
16315,226.37,352,14,cluster3
16545,339.3,186,3,cluster2
16409,1621.12,58,191,cluster1
14963,1342.39,31,184,cluster1
18032,48.3,356,3,cluster3
13066,443.81,46,45,cluster1
16243,386.25,55,47,cluster1
12668,3033.35,33,147,cluster1
13685,3115.43,24,34,cluster1
14895,10911.16,29,487,cluster1
16274,325.3,395,62,cluster3
14456,2789.56,27,865,cluster1
13233,447.44,96,32,cluster1
13588,2409.65,37,168,cluster1
12561,224,324,15,cluster3
17987,186.87,207,12,cluster2
14790,697.48,38,42,cluster1
18055,5958.15,29,306,cluster1
17190,405.71,80,16,cluster1
14240,821.64,52,39,cluster1
15865,895.13,62,40,cluster1
17046,642.02,179,22,cluster2
17516,682.08,37,125,cluster1
15986,168.12,52,14,cluster1
17475,184.89,101,13,cluster1
17754,945.92,22,68,cluster1
15981,3408.48,46,97,cluster1
15021,1729.62,30,412,cluster1
14758,1465.46,166,70,cluster2
14856,1304.66,58,65,cluster1
15752,2356.47,61,370,cluster1
15670,153.25,318,11,cluster3
15334,344.66,178,96,cluster2
15414,774.9,31,39,cluster1
12514,1017.68,289,51,cluster3
15795,504.47,171,35,cluster2
14339,309.52,264,14,cluster3
17889,155.02,234,19,cluster2
13391,59.8,225,1,cluster2
13283,93.66,81,7,cluster1
15189,15638.59,23,206,cluster1
12844,293.12,51,46,cluster1
17513,513.2,94,6,cluster1
13060,234,275,12,cluster3
13297,1978.49,29,57,cluster1
15745,1014.39,41,56,cluster1
14656,263.9,191,74,cluster2
13925,678.25,114,41,cluster1
13182,110.68,67,10,cluster1
12657,1427.18,33,44,cluster1
12478,545.99,25,35,cluster1
13638,112.14,37,7,cluster1
14739,3797.28,26,54,cluster1
16117,201.03,211,25,cluster2
14446,920.09,22,257,cluster1
14560,2186.47,29,70,cluster1
14875,1304.72,129,45,cluster2
14073,125.54,54,11,cluster1
12614,249.6,299,16,cluster3
16018,402.65,61,27,cluster1
12506,73.5,254,23,cluster3
16148,76.32,318,1,cluster3
16484,404.3,195,25,cluster2
14427,363.34,72,17,cluster1
18146,124.8,162,8,cluster2
14466,2067.6,51,67,cluster1
14005,2758.5,31,78,cluster1
16085,894.7,45,146,cluster1
13126,1684.7,26,116,cluster1
13405,526.55,226,23,cluster2
15076,864.25,194,48,cluster2
15755,2227.92,32,131,cluster1
15491,2873.02,117,139,cluster2
13261,944.1,290,9,cluster3
18109,7907.61,23,423,cluster1
12379,739.84,103,36,cluster1
12676,842.69,46,36,cluster1
12437,4396.16,23,181,cluster1
15254,271.76,149,16,cluster2
17256,240,129,16,cluster2
16582,313.62,135,6,cluster2
16080,175.56,103,9,cluster1
16272,346.35,138,21,cluster2
14641,110.46,43,7,cluster1
16042,1197.27,44,71,cluster1
14426,4346.39,45,213,cluster1
17499,570.58,311,37,cluster3
16955,453.27,206,21,cluster2
14045,1417.2,131,5,cluster2
15965,673.65,39,111,cluster1
13626,257.23,274,19,cluster3
14647,243.22,223,30,cluster2
16927,543.05,137,6,cluster2
15078,8408.92,29,396,cluster1
17139,10403.27,37,468,cluster1
14104,183.32,176,13,cluster2
17904,171.52,43,35,cluster1
15917,112.9,269,11,cluster3
13656,330.45,186,45,cluster2
17866,311.95,164,8,cluster2
17862,150.9,345,9,cluster3
16191,5114.82,24,130,cluster1
17035,355.58,267,22,cluster3
17672,3111.27,72,106,cluster1
15716,958.8,167,102,cluster2
16211,547.02,110,23,cluster1
13486,1014.76,100,62,cluster1
17133,3994.64,37,25,cluster1
15637,223.36,74,15,cluster1
16586,463.95,270,8,cluster3
16650,502.82,93,23,cluster1
14701,2463.45,32,314,cluster1
16660,739.05,38,13,cluster1
15145,1178.13,26,66,cluster1
14534,4107.57,24,462,cluster1
14300,43.2,40,3,cluster1
16470,700.98,73,157,cluster1
17552,865.01,82,47,cluster1
13075,919.61,151,22,cluster2
14002,432.63,156,40,cluster2
16038,337.08,29,20,cluster1
12831,150.25,284,7,cluster3
17557,462.68,36,28,cluster1
16835,139.25,150,8,cluster2
14484,321.92,72,14,cluster1
16495,626.71,25,92,cluster1
17391,508.8,185,3,cluster2
13681,739.05,39,50,cluster1
17323,853.49,37,178,cluster1
12962,251.39,29,15,cluster1
12454,2734.74,78,12,cluster1
17901,110.38,51,19,cluster1
12713,694.95,22,34,cluster1
13038,908.46,102,28,cluster1
12919,1320.19,30,49,cluster1
12434,773.44,106,48,cluster1
15556,263.91,46,28,cluster1
15028,605.31,30,43,cluster1
13712,228.84,268,10,cluster3
16904,3408.98,26,628,cluster1
12448,310.37,66,17,cluster1
14408,2561.56,32,102,cluster1
16546,787.15,312,25,cluster3
14861,116.67,74,5,cluster1
15438,142.93,153,21,cluster2
15587,832.32,72,8,cluster1
15541,50.4,136,23,cluster2
12849,934.79,53,44,cluster1
14912,562.57,38,21,cluster1
18251,4314.72,109,16,cluster1
18143,959.8,138,58,cluster2
13684,44.58,307,24,cluster3
15661,309.8,339,5,cluster3
12980,1045.08,198,6,cluster2
16859,656.21,166,45,cluster2
15932,2139.02,26,100,cluster1
17051,229.73,216,39,cluster2
15035,203.41,111,25,cluster1
14309,2324.09,30,113,cluster1
16847,193.44,65,12,cluster1
17337,1885.3,173,484,cluster2
14431,470.36,324,17,cluster3
13875,1628.39,75,93,cluster1
12475,669.38,75,35,cluster1
15626,613.94,96,44,cluster1
14479,298.55,275,17,cluster3
16340,547.81,129,150,cluster2
15639,414.82,156,24,cluster2
17630,386.4,191,20,cluster2
15466,327.03,107,56,cluster1
17146,645.25,127,29,cluster2
13449,274.18,45,18,cluster1
17775,36,276,2,cluster3
14326,149.85,264,6,cluster3
16668,306.72,37,20,cluster1
13497,348.05,304,19,cluster3
12725,175.95,393,12,cluster3
14338,562.12,183,29,cluster2
14155,17.85,288,1,cluster3
15103,619.96,53,29,cluster1
15232,492.06,135,27,cluster2
13309,1330.06,29,97,cluster1
12705,5980.71,37,303,cluster1
16003,2633.57,51,99,cluster1
13059,183.4,271,8,cluster3
14667,7940.99,32,497,cluster1
14147,483.4,100,5,cluster1
13751,123.3,310,7,cluster3
13763,1624.96,85,14,cluster1
18018,122.14,130,29,cluster2
12674,1778.2,60,77,cluster1
14631,972.26,72,37,cluster1
13266,3089.84,33,165,cluster1
12422,654.1,117,36,cluster2
16960,499.52,60,98,cluster1
17054,1226.3,50,75,cluster1
14818,634.2,95,45,cluster1
14044,582.42,48,193,cluster1
12350,258,332,13,cluster3
16581,95.34,204,8,cluster2
14031,15080.72,29,223,cluster1
13049,656.68,86,14,cluster1
16268,527.6,93,39,cluster1
14775,971.82,80,57,cluster1
14436,66.5,120,6,cluster2
15316,165,348,1,cluster3
13116,483.44,160,29,cluster2
12589,549.08,50,31,cluster1
12562,3298.24,30,156,cluster1
17629,1563.98,27,113,cluster1
13956,969.94,27,138,cluster1
15953,901.28,37,78,cluster1
14829,632.9,51,38,cluster1
14221,3077.5,64,182,cluster1
13591,1026.13,86,53,cluster1
13282,1116.54,40,36,cluster1
13721,477.14,58,25,cluster1
16553,5565.92,185,80,cluster2
15121,446.32,72,27,cluster1
13198,3027.86,32,206,cluster1
17728,2805.61,25,161,cluster1
15192,772.86,141,39,cluster2
17135,1069.53,38,47,cluster1
18139,8438.34,39,159,cluster1
17883,633.02,25,138,cluster1
12876,1867.46,79,73,cluster1
17480,496.82,99,28,cluster1
14111,692.85,36,10,cluster1
14849,7797.06,43,380,cluster1
13678,112.68,173,9,cluster2
13930,337.34,79,17,cluster1
16755,1343.7,136,155,cluster2
17512,2780.79,50,101,cluster1
17654,113.65,299,21,cluster3
16323,207.5,218,1,cluster2
13122,821.01,116,49,cluster2
17193,1699.3,57,32,cluster1
13437,3307.34,36,160,cluster1
13803,260.47,277,16,cluster3
13933,608.79,131,23,cluster2
15154,261.54,97,71,cluster1
17245,171.45,226,9,cluster2
16712,3609.21,31,439,cluster1
13798,26986.29,23,272,cluster1
12945,386.35,310,19,cluster3
14592,519.5,57,146,cluster1
14766,2195.71,30,121,cluster1
14424,322.08,39,1,cluster1
12721,2128.44,53,137,cluster1
13572,1303.75,227,30,cluster2
12913,2357.88,26,45,cluster1
13299,142.5,290,5,cluster3
17588,1102.14,122,20,cluster2
15561,800.59,33,27,cluster1
18212,183.19,348,38,cluster3
17123,210.6,183,7,cluster2
15568,707.29,24,50,cluster1
15464,1007.48,360,146,cluster3
17004,1412.94,68,44,cluster1
14089,161,78,14,cluster1
17771,234.83,78,52,cluster1
17955,394.1,240,18,cluster2
13807,96.7,389,6,cluster3
14988,280.34,233,33,cluster2
14234,736.38,44,134,cluster1
15289,878.1,51,52,cluster1
14538,335.15,86,18,cluster1
14573,1577.74,201,214,cluster2
12427,699.8,43,28,cluster1
16141,585,110,29,cluster1
14250,1904.05,29,111,cluster1
12793,461.48,356,22,cluster3
14819,218.97,86,10,cluster1
17047,1004.3,107,60,cluster1
14598,201.11,66,47,cluster1
18272,2920.72,24,155,cluster1
13831,1137.31,38,62,cluster1
18075,2236.57,45,129,cluster1
15870,335.94,54,73,cluster1
18078,334.48,239,28,cluster2
12847,773.26,44,76,cluster1
14675,571.14,38,91,cluster1
13516,1389.41,43,44,cluster1
13602,428.89,86,23,cluster1
16644,812.78,199,60,cluster2
17809,5305.71,38,59,cluster1
15665,2045.75,190,104,cluster2
15719,4267.85,54,840,cluster1
14448,62.55,386,15,cluster3
14699,109.13,236,8,cluster2
17554,1925.9,23,85,cluster1
14551,186.23,40,10,cluster1
12518,1780.59,22,115,cluster1
13663,189.47,201,13,cluster2
13418,6062.34,33,296,cluster1
15168,106.56,47,5,cluster1
14512,269.48,209,22,cluster2
15488,91.32,114,2,cluster1
13160,91.8,44,4,cluster1
16676,1485.27,55,86,cluster1
16837,3078.19,53,158,cluster1
13023,599.9,86,38,cluster1
16882,678.02,88,37,cluster1
17924,2237.1,33,27,cluster1
12618,137.31,43,10,cluster1
17048,849.85,139,40,cluster2
12824,386.92,81,24,cluster1
17797,721.32,44,105,cluster1
16053,1474.55,54,82,cluster1
12875,343.23,165,2,cluster2
13316,5965.98,59,85,cluster1
15006,421.67,73,123,cluster1
12693,656.29,149,31,cluster2
16915,454.23,31,54,cluster1
14251,2879.7,23,78,cluster1
15274,716.57,26,47,cluster1
16779,9868.39,24,286,cluster1
15781,327.61,47,19,cluster1
13755,1838.44,25,268,cluster1
12956,94.67,328,15,cluster3
14163,1456.89,109,38,cluster1
17888,666.17,43,57,cluster1
12358,341.86,23,10,cluster1
17044,768.48,47,5,cluster1
14110,5093.22,25,137,cluster1
17865,9795.18,52,355,cluster1
15211,784.01,82,45,cluster1
15625,1534.26,125,64,cluster2
14270,492.65,353,29,cluster3
15901,341.26,38,107,cluster1
13627,1576.97,81,87,cluster1
16796,282.92,111,16,cluster1
16055,134.8,242,8,cluster2
14162,271.96,195,24,cluster2
13739,216.9,40,3,cluster1
15083,62.7,278,3,cluster3
18114,205.75,312,25,cluster3
12621,12054.41,23,429,cluster1
17030,133.47,85,9,cluster1
14923,729.2,72,43,cluster1
16555,285.89,57,17,cluster1
17010,195.36,40,11,cluster1
12573,129.14,249,24,cluster3
15523,85.03,106,6,cluster1
12504,428.05,40,8,cluster1
13321,549.66,94,10,cluster1
13161,71.45,335,6,cluster3
16784,77.6,41,2,cluster1
13886,226.96,93,15,cluster1
14644,830.76,89,26,cluster1
16145,3478.61,30,207,cluster1
